sitename,lat,lon,elv,date_start,date_end,product,koeppen_code,year_end,year_start,koeppen_code_beck,whc,igbp_land_use,data_path
IT-BCi,40.5237,14.9574,20,2004-01-01,2014-12-31,fluxnet2015,Csa ,2014,2004,Csa ,361.683013916016,Croplands,data-raw/flux_data/
IT-CA1,42.3804,12.0266,200,2011-01-01,2014-12-31,fluxnet2015,Csa ,2014,2011,Csa ,461.049011230469,Croplands,data-raw/flux_data/
IT-CA2,42.3772,12.026,200,2011-01-01,2014-12-31,fluxnet2015,Csa ,2014,2011,Csa ,461.049011230469,Croplands,data-raw/flux_data/
IT-CA3,42.38,12.0222,197,2011-01-01,2014-12-31,fluxnet2015,Csa ,2014,2011,Csa ,461.049011230469,Savannas,data-raw/flux_data/
IT-Col,41.8494,13.5881,1560,1996-01-01,2014-12-31,fluxnet2015,Dfb,2014,1996,Dfb,383.938995361328,Deciduous Broadleaf Forest,data-raw/flux_data/
IT-Cpz,41.7052,12.3761,68,1997-01-01,2009-12-31,fluxnet2015,Csa ,2009,1997,Csa ,380.264007568359,Evergreen Broadleaf Forest,data-raw/flux_data/
IT-Isp,45.8126,8.6336,210,2013-01-01,2014-12-31,fluxnet2015,Cfa,2014,2013,Cfa,376.768005371094,Woody Savannas,data-raw/flux_data/
IT-La2,45.9542,11.2853,1350,2000-01-01,2002-12-31,fluxnet2015,Dfb,2002,2000,Dfb,339.420013427734,Mixed Forest,data-raw/flux_data/
IT-Lav,45.9562,11.2813,1353,2003-01-01,2014-12-31,fluxnet2015,Dfb,2014,2003,Dfb,339.420013427734,Evergreen Needleleaf Forest,data-raw/flux_data/
IT-Noe,40.6062,8.1517,25,2004-01-01,2014-12-31,fluxnet2015,Csa ,2014,2004,Csa ,NA,Evergreen Needleleaf Forest,data-raw/flux_data/
IT-PT1,45.2009,9.061,60,2002-01-01,2004-12-31,fluxnet2015,Cfa,2004,2002,Cfa,376.768005371094,Croplands,data-raw/flux_data/
IT-Ro1,42.4081,11.93,235,2000-01-01,2008-12-31,fluxnet2015,Csa ,2008,2000,Csa ,461.049011230469,Savannas,data-raw/flux_data/
IT-Ro2,42.3903,11.9209,160,2002-01-01,2012-12-31,fluxnet2015,Csa ,2012,2002,Csa ,461.049011230469,Savannas,data-raw/flux_data/
IT-SRo,43.7279,10.2844,6,1999-01-01,2012-12-31,fluxnet2015,Csa ,2012,1999,Csa ,387.377014160156,Evergreen Needleleaf Forest,data-raw/flux_data/
JP-MBF,44.3869,142.3186,NA,2003-01-01,2005-12-31,fluxnet2015,Dfb,2005,2003,Dfb,444.471984863281,Woody Savannas,data-raw/flux_data/
JP-SMF,35.2617,137.0788,NA,2002-01-01,2006-12-31,fluxnet2015,Cfa,2006,2002,Cfa,436.118011474609,Mixed Forest,data-raw/flux_data/
MY-PSO,2.973,102.3062,NA,2003-01-01,2009-12-31,fluxnet2015,Af,2009,2003,Af,426.265991210938,Evergreen Broadleaf Forest,data-raw/flux_data/
NL-Hor,52.2403,5.0713,2.2,2004-01-01,2011-12-31,fluxnet2015,Cfb,2011,2004,Cfb,640.913024902344,Grasslands,data-raw/flux_data/
NL-Loo,52.1666,5.7436,25,1996-01-01,2014-12-31,fluxnet2015,Cfb,2014,1996,Cfb,425.602996826172,Evergreen Needleleaf Forest,data-raw/flux_data/
PA-SPn,9.3181,-79.6346,78,2007-01-01,2009-12-31,fluxnet2015,Am,2009,2007,Am,426.696990966797,Savannas,data-raw/flux_data/
PA-SPs,9.3138,-79.6314,68,2007-01-01,2009-12-31,fluxnet2015,Am,2009,2007,Am,426.696990966797,Savannas,data-raw/flux_data/
RU-Che,68.613,161.3414,6,2002-01-01,2005-12-31,fluxnet2015,Dsc,2005,2002,Dsc,479.049987792969,Open Shrublands,data-raw/flux_data/
RU-Cok,70.8291,147.4943,48,2003-01-01,2014-12-31,fluxnet2015,ET,2014,2003,ET,372.691009521484,Open Shrublands,data-raw/flux_data/
RU-Fyo,56.4615,32.9221,265,1998-01-01,2014-12-31,fluxnet2015,Dfb,2014,1998,Dfb,390.746002197266,Mixed Forest,data-raw/flux_data/
RU-Ha1,54.7252,90.0022,446,2002-01-01,2004-12-31,fluxnet2015,Dwc,2004,2002,Dwc,438.930999755859,Grasslands,data-raw/flux_data/
SD-Dem,13.2829,30.4783,500,2005-01-01,2009-12-31,fluxnet2015,BWh ,2009,2005,BWh ,356.736999511719,Grasslands,data-raw/flux_data/
SJ-Adv,78.186,15.923,17,2011-01-01,2014-12-31,fluxnet2015,ET,2014,2011,ET,NA,Grasslands,data-raw/flux_data/
SJ-Blv,78.9216,11.8311,25,2008-01-01,2009-12-31,fluxnet2015,ET,2009,2008,ET,NA,Grasslands,data-raw/flux_data/
SN-Dhr,15.4028,-15.4322,40,2010-01-01,2013-12-31,fluxnet2015,Bsh,2013,2010,Bsh,343.338989257812,Grasslands,data-raw/flux_data/
US-ARb,35.5497,-98.0402,424,2005-01-01,2006-12-31,fluxnet2015,Cfa,2006,2005,Cfa,479.739990234375,Croplands,data-raw/flux_data/
US-ARc,35.5465,-98.04,424,2005-01-01,2006-12-31,fluxnet2015,Cfa,2006,2005,Cfa,479.739990234375,Croplands,data-raw/flux_data/
US-Atq,70.4696,-157.4089,15,2003-01-01,2008-12-31,fluxnet2015,ET,2008,2003,ET,356.910003662109,Grasslands,data-raw/flux_data/
US-Blo,38.8953,-120.6328,1315,1997-01-01,2007-12-31,fluxnet2015,Csb ,2007,1997,Csb ,421.178009033203,Evergreen Needleleaf Forest,data-raw/flux_data/
US-Cop,38.09,-109.39,1520,2001-01-01,2007-12-31,fluxnet2015,Bsk,2007,2001,Bsk,384.161987304688,Grasslands,data-raw/flux_data/
US-GBT,41.3658,-106.2397,3191,1999-01-01,2006-12-31,fluxnet2015,Dfc,2006,1999,Dfc,396.127990722656,Grasslands,data-raw/flux_data/
US-GLE,41.3665,-106.2399,3197,2004-01-01,2014-12-31,fluxnet2015,Dfc,2014,2004,Dfc,396.127990722656,Grasslands,data-raw/flux_data/
US-Goo,34.2547,-89.8735,87,2002-01-01,2006-12-31,fluxnet2015,Cfa,2006,2002,Cfa,367.355987548828,Woody Savannas,data-raw/flux_data/
US-Ha1,42.5378,-72.1715,340,1991-01-01,2012-12-31,fluxnet2015,Dfb,2012,1991,Dfb,284.342010498047,Mixed Forest,data-raw/flux_data/
US-IB2,41.8406,-88.241,226.5,2004-01-01,2011-12-31,fluxnet2015,Dfa,2011,2004,Dfa,415.476989746094,Grasslands,data-raw/flux_data/
US-Ivo,68.4865,-155.7503,568,2004-01-01,2007-12-31,fluxnet2015,Dsc,2007,2004,Dsc,454.872985839844,Open Shrublands,data-raw/flux_data/
US-KS1,28.4583,-80.6709,1,2002-01-01,2002-12-31,fluxnet2015,Cfa,2002,2002,Cfa,475.493988037109,Savannas,data-raw/flux_data/
US-KS2,28.6086,-80.6715,3,2003-01-01,2006-12-31,fluxnet2015,Cfa,2006,2003,Cfa,475.493988037109,Savannas,data-raw/flux_data/
US-LWW,34.9604,-97.9789,365,1997-01-01,1998-12-31,fluxnet2015,Cfa,1998,1997,Cfa,479.739990234375,Grasslands,data-raw/flux_data/
US-Lin,36.3566,-119.0922,131,2009-01-01,2010-12-31,fluxnet2015,Csa ,2010,2009,Csa ,407.566009521484,Croplands,data-raw/flux_data/
US-Los,46.0827,-89.9792,480,2000-01-01,2014-12-31,fluxnet2015,Dfb,2014,2000,Dfb,302.227996826172,Woody Savannas,data-raw/flux_data/
US-MMS,39.3232,-86.4131,275,1999-01-01,2014-12-31,fluxnet2015,Dfa,2014,1999,Dfa,407.819000244141,Deciduous Broadleaf Forest,data-raw/flux_data/
US-Me1,44.5794,-121.5,896,2004-01-01,2005-12-31,fluxnet2015,Dsb,2005,2004,Dsb,381.675994873047,Woody Savannas,data-raw/flux_data/
US-Me3,44.3154,-121.6078,1005,2004-01-01,2009-12-31,fluxnet2015,Dsb,2009,2004,Dsb,381.675994873047,Woody Savannas,data-raw/flux_data/
US-Me4,44.4992,-121.6224,922,1996-01-01,2000-12-31,fluxnet2015,Dsb,2000,1996,Dsb,381.675994873047,Woody Savannas,data-raw/flux_data/
US-Me5,44.4372,-121.5668,1188,2000-01-01,2002-12-31,fluxnet2015,Dsb,2002,2000,Dsb,381.675994873047,Evergreen Needleleaf Forest,data-raw/flux_data/
US-Me6,44.3233,-121.6078,998,2010-01-01,2014-12-31,fluxnet2015,Dsb,2014,2010,Dsb,381.675994873047,Woody Savannas,data-raw/flux_data/
US-Myb,38.0499,-121.765,-4,2010-01-01,2014-12-31,fluxnet2015,Csa ,2014,2010,Csa ,398.067993164062,Grasslands,data-raw/flux_data/
US-NR1,40.0329,-105.5464,3050,1998-01-01,2014-12-31,fluxnet2015,Dfc,2014,1998,Dfc,396.127990722656,Woody Savannas,data-raw/flux_data/
US-Ne1,41.1651,-96.4766,361,2001-01-01,2013-12-31,fluxnet2015,Dfa,2013,2001,Dfa,409.950012207031,Croplands,data-raw/flux_data/
US-Ne2,41.1649,-96.4701,362,2001-01-01,2013-12-31,fluxnet2015,Dfa,2013,2001,Dfa,409.950012207031,Croplands,data-raw/flux_data/
US-Ne3,41.1797,-96.4397,363,2001-01-01,2013-12-31,fluxnet2015,Dfa,2013,2001,Dfa,409.950012207031,Croplands,data-raw/flux_data/
US-ORv,40.0201,-83.0183,221,2011-01-01,2011-12-31,fluxnet2015,Dfa,2011,2011,Dfa,374.343994140625,Urban and Built-Up,data-raw/flux_data/
US-PFa,45.9459,-90.2723,470,1995-01-01,2014-12-31,fluxnet2015,Dfb,2014,1995,Dfb,302.227996826172,Woody Savannas,data-raw/flux_data/
US-SRC,31.9083,-110.8395,950,2008-01-01,2014-12-31,fluxnet2015,Bsh,2014,2008,Bsh,407.540008544922,Open Shrublands,data-raw/flux_data/
US-SRM,31.8214,-110.8661,1120,2004-01-01,2014-12-31,fluxnet2015,Bsh,2014,2004,Bsh,369.858001708984,Grasslands,data-raw/flux_data/
US-Sta,41.3966,-106.8024,2069,2005-01-01,2009-12-31,fluxnet2015,Bsk,2009,2005,Bsk,422.430999755859,Grasslands,data-raw/flux_data/
US-Syv,46.242,-89.3477,540,2001-01-01,2014-12-31,fluxnet2015,Dfb,2014,2001,Dfb,302.227996826172,Mixed Forest,data-raw/flux_data/
US-Ton,38.4309,-120.966,177,2001-01-01,2014-12-31,fluxnet2015,Csa ,2014,2001,Csa ,401.626007080078,Savannas,data-raw/flux_data/
US-Tw3,38.1152,-121.6469,-4,2013-01-01,2014-12-31,fluxnet2015,Csa ,2014,2013,Csa ,398.067993164062,Croplands,data-raw/flux_data/
US-Twt,38.1087,-121.6531,-7,2009-01-01,2014-12-31,fluxnet2015,Csa ,2014,2009,Csa ,398.067993164062,Croplands,data-raw/flux_data/
US-Var,38.4133,-120.9508,129,2000-01-01,2014-12-31,fluxnet2015,Csa ,2014,2000,Csa ,407.566009521484,Grasslands,data-raw/flux_data/
US-WCr,45.8059,-90.0799,520,1999-01-01,2014-12-31,fluxnet2015,Dfb,2014,1999,Dfb,302.227996826172,Deciduous Broadleaf Forest,data-raw/flux_data/
US-WPT,41.4646,-82.9962,175,2011-01-01,2013-12-31,fluxnet2015,Dfa,2013,2011,Dfa,0,Permanent Wetlands,data-raw/flux_data/
US-Whs,31.7438,-110.0522,1370,2007-01-01,2014-12-31,fluxnet2015,Bsk,2014,2007,Bsk,383.184997558594,Open Shrublands,data-raw/flux_data/
US-Wi0,46.6188,-91.0814,349,2002-01-01,2002-12-31,fluxnet2015,Dfb,2002,2002,Dfb,283.765014648438,Mixed Forest,data-raw/flux_data/
US-Wi1,46.7305,-91.2329,352,2003-01-01,2003-12-31,fluxnet2015,Dfb,2003,2003,Dfb,395.510009765625,Deciduous Broadleaf Forest,data-raw/flux_data/
US-Wi2,46.6869,-91.1528,395,2003-01-01,2003-12-31,fluxnet2015,Dfb,2003,2003,Dfb,395.510009765625,Mixed Forest,data-raw/flux_data/
US-Wi3,46.6347,-91.0987,411,2002-01-01,2004-12-31,fluxnet2015,Dfb,2004,2002,Dfb,283.765014648438,Deciduous Broadleaf Forest,data-raw/flux_data/
US-Wi4,46.7393,-91.1663,352,2002-01-01,2005-12-31,fluxnet2015,Dfb,2005,2002,Dfb,395.510009765625,Mixed Forest,data-raw/flux_data/
US-Wi5,46.6531,-91.0858,353,2004-01-01,2004-12-31,fluxnet2015,Dfb,2004,2004,Dfb,283.765014648438,Deciduous Broadleaf Forest,data-raw/flux_data/
US-Wi6,46.6249,-91.2982,371,2002-01-01,2003-12-31,fluxnet2015,Dfb,2003,2002,Dfb,395.510009765625,Woody Savannas,data-raw/flux_data/
US-Wi7,46.6491,-91.0693,335,2005-01-01,2005-12-31,fluxnet2015,Dfb,2005,2005,Dfb,283.765014648438,Woody Savannas,data-raw/flux_data/
US-Wi8,46.7223,-91.2524,348,2002-01-01,2002-12-31,fluxnet2015,Dfb,2002,2002,Dfb,395.510009765625,Deciduous Broadleaf Forest,data-raw/flux_data/
US-Wi9,46.7385,-91.0746,350,2004-01-01,2005-12-31,fluxnet2015,Dfb,2005,2004,Dfb,283.765014648438,Mixed Forest,data-raw/flux_data/
US-Wkg,31.7365,-109.9419,1531,2004-01-01,2014-12-31,fluxnet2015,Bsk,2014,2004,Bsk,383.184997558594,Grasslands,data-raw/flux_data/
ZM-Mon,-15.4391,23.2525,1053,2000-01-01,2009-12-31,fluxnet2015,Cwa,2009,2000,Cwa,290.826995849609,Grasslands,data-raw/flux_data/
AU-Cow,-16.2381896972656,145.427154541016,86,2010-01-01,2015-12-31,plumber,Am,2015,2010,Am,NA,Evergreen Broadleaf Forest,data-raw/flux_data/
AU-Ctr,-16.1032791137695,145.446853637695,66,2010-01-01,2017-12-31,plumber,Af,2017,2010,Af,NA,Evergreen Broadleaf Forest,data-raw/flux_data/
AU-Lit,-13.1790399551392,130.794494628906,200,2016-01-01,2017-12-31,plumber,Aw,2017,2016,Aw,368.359985351562,Savannas,data-raw/flux_data/
AU-Otw,-38.532341003418,142.816802978516,54,2009-01-01,2010-12-31,plumber,Csb ,2010,2009,Csb ,392.052001953125,Grasslands,data-raw/flux_data/
AU-Sam,-27.3880996704102,152.877807617188,170,2011-01-01,2017-12-31,plumber,Cfa,2017,2011,Cfa,411.515991210938,Savannas,data-raw/flux_data/
AU-Wrr,-43.0950202941895,146.654495239258,100,2016-01-01,2017-12-31,plumber,Cfb,2017,2016,Cfb,377.342010498047,Evergreen Broadleaf Forest,data-raw/flux_data/
BW-Ma1,-19.9165000915527,23.5603294372559,929,2000-01-01,2000-12-31,plumber,Bsh,2000,2000,Bsh,386.946014404297,Grasslands,data-raw/flux_data/
CA-Qcu,49.2670783996582,-74.0365295410156,392,2002-01-01,2006-12-31,plumber,Dfc,2006,2002,Dfc,199.822998046875,Woody Savannas,data-raw/flux_data/
DE-Bay,50.1419410705566,11.8669395446777,781,1997-01-01,1999-12-31,plumber,Dfb,1999,1997,Dfb,429.131011962891,Mixed Forest,data-raw/flux_data/
DE-Meh,51.2753105163574,10.6554698944092,291,2004-01-01,2006-12-31,plumber,Dfb,2006,2004,Dfb,358.447998046875,Croplands,data-raw/flux_data/
DE-Wet,50.453498840332,11.4575300216675,703,2002-01-01,2006-12-31,plumber,Dfb,2006,2002,Dfb,401.579010009766,Evergreen Needleleaf Forest,data-raw/flux_data/
DK-Lva,55.6833000183105,12.0832996368408,-2493,2005-01-01,2006-12-31,plumber,Dfb,2006,2005,Dfb,NA,Grasslands,data-raw/flux_data/
DK-Ris,55.5302810668945,12.0972204208374,24,2004-01-01,2005-12-31,plumber,Dfb,2005,2004,Dfb,398.192993164062,Croplands,data-raw/flux_data/
DK-ZaH,74.4731979370117,-20.5503005981445,38,2000-01-01,2013-12-31,plumber,ET,2013,2000,ET,409.380004882812,Grasslands,data-raw/flux_data/
ES-ES1,39.3459701538086,-0.318809986114502,1,1999-01-01,2006-12-31,plumber,Bsk,2006,1999,Bsk,NA,Permanent Wetlands,data-raw/flux_data/
ES-ES2,39.2755584716797,-0.315279990434647,7,2005-01-01,2006-12-31,plumber,Bsk,2006,2005,Bsk,NA,Croplands,data-raw/flux_data/
ES-LMa,39.9426918029785,-5.77335977554321,278,2004-01-01,2006-12-31,plumber,Bsk,2006,2004,Bsk,448.171997070312,Savannas,data-raw/flux_data/
ES-VDA,42.1521797180176,1.4485000371933,1787,2004-01-01,2004-12-31,plumber,Dfb,2004,2004,Dfb,381.778015136719,Grasslands,data-raw/flux_data/
FI-Kaa,69.1406936645508,27.2950305938721,159,2000-01-01,2002-12-31,plumber,Dfc,2002,2000,Dfc,221.938003540039,Savannas,data-raw/flux_data/
FR-Lq1,45.6430587768555,2.73583006858826,1066,2004-01-01,2006-12-31,plumber,Dfb,2006,2004,Dfb,393.282989501953,Grasslands,data-raw/flux_data/
FR-Lq2,45.6391906738281,2.73703002929688,1081,2004-01-01,2006-12-31,plumber,Dfb,2006,2004,Dfb,393.282989501953,Savannas,data-raw/flux_data/
HU-Bug,46.6911010742188,19.6012992858887,106,2003-01-01,2006-12-31,plumber,Dfb,2006,2003,Dfb,411.403991699219,Grasslands,data-raw/flux_data/
ID-Pag,-2.3199999332428,113.900001525879,30,2002-01-01,2003-12-31,plumber,Af,2003,2002,Af,420.648986816406,Evergreen Broadleaf Forest,data-raw/flux_data/
IE-Ca1,52.8587913513184,-6.91813993453979,72,2004-01-01,2006-12-31,plumber,Cfb,2006,2004,Cfb,379.950012207031,Croplands,data-raw/flux_data/
IE-Dri,51.9866905212402,-8.75181007385254,186,2003-01-01,2005-12-31,plumber,Cfb,2005,2003,Cfb,340.785003662109,Grasslands,data-raw/flux_data/
IT-Amp,41.9040985107422,13.6051597595215,991,2003-01-01,2006-12-31,plumber,Csb ,2006,2003,Csb ,383.938995361328,Savannas,data-raw/flux_data/
IT-LMa,45.1525802612305,7.58259010314941,350,2003-01-01,2004-12-31,plumber,Cfa,2004,2003,Cfa,376.768005371094,Deciduous Broadleaf Forest,data-raw/flux_data/
IT-Mal,46.1140213012695,11.7033395767212,1610,2003-01-01,2003-12-31,plumber,Dfc,2003,2003,Dfc,339.420013427734,Mixed Forest,data-raw/flux_data/
IT-Non,44.6901893615723,11.0910902023315,14,2002-01-01,2002-12-31,plumber,Cfa,2002,2002,Cfa,387.377014160156,Croplands,data-raw/flux_data/
NL-Ca1,51.9710006713867,4.92700004577637,1,2003-01-01,2006-12-31,plumber,Cfb,2006,2003,Cfb,394.903015136719,Savannas,data-raw/flux_data/
PL-wet,52.7621994018555,16.3094005584717,55,2004-01-01,2005-12-31,plumber,Dfb,2005,2004,Dfb,336.661987304688,Woody Savannas,data-raw/flux_data/
PT-Esp,38.6394004821777,-8.60179996490479,90,2002-01-01,2004-12-31,plumber,Csa ,2004,2002,Csa ,332.582000732422,Mixed Forest,data-raw/flux_data/
PT-Mi1,38.540641784668,-8.00006008148193,230,2005-01-01,2005-12-31,plumber,Csa ,2005,2005,Csa ,390.513000488281,Savannas,data-raw/flux_data/
PT-Mi2,38.4765014648438,-8.02455043792725,193,2005-01-01,2006-12-31,plumber,Csa ,2006,2005,Csa ,390.513000488281,Croplands,data-raw/flux_data/
RU-Zot,60.8008003234863,89.3507995605469,124,2003-01-01,2003-12-31,plumber,Dfc,2003,2003,Dfc,313.024993896484,Evergreen Needleleaf Forest,data-raw/flux_data/
UK-Gri,56.6072196960449,-3.79805994033813,343,2000-01-01,2001-12-31,plumber,Cfb,2001,2000,Cfb,247.820007324219,Evergreen Needleleaf Forest,data-raw/flux_data/
UK-Ham,51.1535301208496,-0.858299970626831,76,2004-01-01,2004-12-31,plumber,Cfb,2004,2004,Cfb,336.661987304688,Woody Savannas,data-raw/flux_data/
UK-PL3,51.4500007629395,-1.2666699886322,104,2005-01-01,2006-12-31,plumber,Cfb,2006,2005,Cfb,392.595001220703,Mixed Forest,data-raw/flux_data/
US-Aud,31.5907001495361,-110.509201049805,1466,2003-01-01,2005-12-31,plumber,Bsk,2005,2003,Bsk,369.858001708984,Open Shrublands,data-raw/flux_data/
US-Bkg,44.3452911376953,-96.8361663818359,495,2005-01-01,2006-12-31,plumber,Dwa,2006,2005,Dwa,422.584014892578,Croplands,data-raw/flux_data/
US-Bo1,40.0061988830566,-88.290397644043,217,1997-01-01,2006-12-31,plumber,Dfa,2006,1997,Dfa,415.476989746094,Croplands,data-raw/flux_data/
US-FPe,48.3077011108398,-105.101898193359,638,2000-01-01,2006-12-31,plumber,Bsk,2006,2000,Bsk,422.584014892578,Grasslands,data-raw/flux_data/
US-MOz,38.7441101074219,-92.2000122070312,212,2005-01-01,2006-12-31,plumber,Dfa,2006,2005,Dfa,398.730010986328,Deciduous Broadleaf Forest,data-raw/flux_data/
US-SP1,29.7380695343018,-82.2187728881836,47,2005-01-01,2005-12-31,plumber,Cfa,2005,2005,Cfa,417.005004882812,Woody Savannas,data-raw/flux_data/
US-SP2,29.764799118042,-82.2448196411133,46,2000-01-01,2004-12-31,plumber,Cfa,2004,2000,Cfa,417.005004882812,Evergreen Broadleaf Forest,data-raw/flux_data/
US-SP3,29.7547702789307,-82.1632766723633,36,1999-01-01,2004-12-31,plumber,Cfa,2004,1999,Cfa,417.005004882812,Evergreen Broadleaf Forest,data-raw/flux_data/
ZA-Kru,-25.0196990966797,31.4969005584717,359,2000-01-01,2002-12-31,plumber,Bsh,2002,2000,Bsh,406.096008300781,Grasslands,data-raw/flux_data/
