sitename,start_gpp,end_gpp,year_start_gpp,year_end_gpp,nyears_gpp,drop_gpp,start_le,end_le,year_start_le,year_end_le,nyears_le,drop_le,start_lecorr,end_lecorr,year_start_lecorr,year_end_lecorr,nyears_lecorr,drop_lecorr
US-xNQ,2019-02-05,2021-12-30,2020,2020,1,FALSE,2018-10-09,2020-09-09,2019,2019,1,FALSE,2018-10-09,2020-09-09,2019,2019,1,FALSE
US-xRM,2017-11-26,2020-12-03,2018,2019,2,FALSE,2017-04-07,2021-12-30,2018,2020,3,FALSE,2017-04-07,2021-12-30,2018,2020,3,FALSE
US-xSB,2019-09-09,2021-12-30,2020,2020,1,FALSE,2019-08-19,2021-12-30,2020,2020,1,FALSE,2019-08-19,2021-12-30,2020,2020,1,FALSE
US-xSE,2020-09-06,2021-12-30,2021,2020,0,TRUE,2019-06-06,2021-12-30,2020,2020,1,FALSE,2019-06-06,2021-12-30,2020,2020,1,FALSE
US-xSR,2018-07-14,2021-12-30,2019,2020,2,FALSE,2018-07-14,2021-12-30,2019,2020,2,FALSE,2018-07-14,2021-12-30,2019,2020,2,FALSE
US-xST,2017-09-01,2021-12-30,2018,2020,3,FALSE,2017-08-31,2021-12-30,2018,2020,3,FALSE,2017-08-31,2021-12-30,2018,2020,3,FALSE
US-xTA,2019-06-09,2021-12-30,2020,2020,1,FALSE,2017-09-01,2021-12-30,2018,2020,3,FALSE,2017-09-01,2021-12-30,2018,2020,3,FALSE
US-xTR,2018-01-10,2021-12-30,2019,2020,2,FALSE,2017-08-01,2021-12-30,2018,2020,3,FALSE,2017-08-01,2021-12-30,2018,2020,3,FALSE
US-xUK,2019-10-06,2021-12-30,2020,2020,1,FALSE,2018-09-04,2021-12-30,2019,2020,2,FALSE,2018-09-04,2021-12-30,2019,2020,2,FALSE
US-xUN,2017-04-02,2021-12-30,2018,2020,3,FALSE,2017-04-02,2021-12-30,2018,2020,3,FALSE,2017-04-02,2021-12-30,2018,2020,3,FALSE
US-xYE,2019-01-02,2020-05-12,2020,2019,0,TRUE,2019-01-02,2021-12-30,2020,2020,1,FALSE,2019-01-02,2021-12-30,2020,2020,1,FALSE
ZA-Kru,2000-04-07,2002-11-26,2001,2001,1,FALSE,2000-04-06,2001-12-05,2001,2000,0,TRUE,2000-04-06,2001-12-05,2001,2000,0,TRUE
ZM-Mon,2008-01-05,2008-12-30,2009,2008,0,TRUE,2008-01-03,2008-12-30,2009,2008,0,TRUE,2008-01-03,2008-12-30,2009,2008,0,TRUE
