# Citation information for the selected data product for each site selected.
# Newly published BASE and FLUXNET data products may not yet have a DOI for citation. Check the site's AmeriFlux Site Info webpage in a few days.
# Read more information about citing AmeriFlux data at the Data Policy webpage: https://ameriflux.lbl.gov/data/data-policy
# Citation information can also be acquired by making a Site Set (https://ameriflux.lbl.gov/sites/site-sets/) for your downloaded sites and use the "Download for Set: DOIs as ASCII" feature to acquire a list of DOI citations.
# Citation information can also be found on each site's AmeriFlux Site Info webpage. Access Site Info pages via Site Search: https://ameriflux.lbl.gov/sites/site-search/
site_id,author,title,publication_year,publisher,doi,doi_url,citation
"CA-BOU","Garneau, Michelle","AmeriFlux BASE CA-BOU Bouleau Peatland, Ver. 2-5","2023","AmeriFlux AMP","10.17190/AMF/1987599","http://doi.org/10.17190/AMF/1987599","Michelle Garneau (2023), AmeriFlux BASE CA-BOU Bouleau Peatland, Ver. 2-5, AmeriFlux AMP, (Dataset). https://doi.org/10.17190/AMF/1987599"
"CA-Ca1","Black, T. Andrew","AmeriFlux BASE CA-Ca1 British Columbia - 1949 Douglas-fir stand, Ver. 1-5","2018","AmeriFlux AMP","10.17190/AMF/1480300","http://doi.org/10.17190/AMF/1480300","T. Andrew Black (2018), AmeriFlux BASE CA-Ca1 British Columbia - 1949 Douglas-fir stand, Ver. 1-5, AmeriFlux AMP, (Dataset). https://doi.org/10.17190/AMF/1480300"
"CA-Ca2","Black, T. Andrew","AmeriFlux BASE CA-Ca2 British Columbia - Clearcut Douglas-fir stand (harvested winter 1999/2000), Ver. 1-5","2018","AmeriFlux AMP","10.17190/AMF/1480301","http://doi.org/10.17190/AMF/1480301","T. Andrew Black (2018), AmeriFlux BASE CA-Ca2 British Columbia - Clearcut Douglas-fir stand (harvested winter 1999/2000), Ver. 1-5, AmeriFlux AMP, (Dataset). https://doi.org/10.17190/AMF/1480301"
"CA-Ca3","Black, T. Andrew","AmeriFlux BASE CA-Ca3 British Columbia - Pole sapling Douglas-fir stand, Ver. 6-5","2023","AmeriFlux AMP","10.17190/AMF/1480302","http://doi.org/10.17190/AMF/1480302","T. Andrew Black (2023), AmeriFlux BASE CA-Ca3 British Columbia - Pole sapling Douglas-fir stand, Ver. 6-5, AmeriFlux AMP, (Dataset). https://doi.org/10.17190/AMF/1480302"
"CA-Cbo","Staebler, Ralf","AmeriFlux BASE CA-Cbo Ontario - Mixed Deciduous, Borden Forest Site, Ver. 6-5","2022","AmeriFlux AMP","10.17190/AMF/1498755","http://doi.org/10.17190/AMF/1498755","Ralf Staebler (2022), AmeriFlux BASE CA-Cbo Ontario - Mixed Deciduous, Borden Forest Site, Ver. 6-5, AmeriFlux AMP, (Dataset). https://doi.org/10.17190/AMF/1498755"
"CA-CF1, CA-CF2","Hanis, Krista L.; Amiro, Brian D.; Tenuta, Mario; Papakyriakou, Tim; Swystun, Kyle A.","Carbon exchange over four growing seasons for a subarctic sedge fen in northern Manitoba, Canada","2015","Canadian Science Publishing","10.1139/AS-2015-0003","http://doi.org/10.1139/AS-2015-0003","Hanis, K. L., Amiro, B. D., Tenuta, M., Papakyriakou, T., Swystun, K. A. (2015) Carbon exchange over four growing seasons for a subarctic sedge fen in northern Manitoba, Canada, Arctic Science, 1(2), 27-44"
"CA-CF3","Arndt, Kyle; Natali, Susan","AmeriFlux BASE CA-CF3 Churchill Fen Site 3, Ver. 1-5","2024","AmeriFlux AMP","10.17190/AMF/2335573","http://doi.org/10.17190/AMF/2335573","Kyle Arndt, Susan Natali (2024), AmeriFlux BASE CA-CF3 Churchill Fen Site 3, Ver. 1-5, AmeriFlux AMP, (Dataset). https://doi.org/10.17190/AMF/2335573"
"CA-Cha","Bourque, Charles","AmeriFlux BASE CA-Cha New Brunswick - Charlie Lake site 01 (immature balsam fir forest to be thinned in year 3), Ver. 1-5","2018","AmeriFlux AMP","10.17190/AMF/1436317","http://doi.org/10.17190/AMF/1436317","Charles Bourque (2018), AmeriFlux BASE CA-Cha New Brunswick - Charlie Lake site 01 (immature balsam fir forest to be thinned in year 3), Ver. 1-5, AmeriFlux AMP, (Dataset). https://doi.org/10.17190/AMF/1436317"
"CA-DB2","Knox, Sara","AmeriFlux BASE CA-DB2 Delta Burns Bog 2, Ver. 1-5","2021","AmeriFlux AMP","10.17190/AMF/1811362","http://doi.org/10.17190/AMF/1811362","Sara Knox (2021), AmeriFlux BASE CA-DB2 Delta Burns Bog 2, Ver. 1-5, AmeriFlux AMP, (Dataset). https://doi.org/10.17190/AMF/1811362"
"CA-DBB","Lee, Sung-Ching; Christen, Andreas; Black, Andrew T.; Johnson, Mark S.; Jassal, Rachhpal S.; Ketler, Rick; Nesic, Zoran; Merkens, Markus","Annual greenhouse gas budget for a bog ecosystem undergoing restoration by rewetting","2017","Copernicus GmbH","10.5194/BG-14-2799-2017","http://doi.org/10.5194/BG-14-2799-2017","Lee, S., Christen, A., Black, A. T., Johnson, M. S., Jassal, R. S., Ketler, R., Nesic, Z., Merkens, M. (2017) Annual greenhouse gas budget for a bog ecosystem undergoing restoration by rewetting, Biogeosciences, 14(11), 2799-2814"
