# Citation information for the selected data product for each site selected.
# Newly published BASE and FLUXNET data products may not yet have a DOI for citation. Check the site's AmeriFlux Site Info webpage in a few days.
# Read more information about citing AmeriFlux data at the Data Policy webpage: https://ameriflux.lbl.gov/data/data-policy
# Citation information can also be acquired by making a Site Set (https://ameriflux.lbl.gov/sites/site-sets/) for your downloaded sites and use the "Download for Set: DOIs as ASCII" feature to acquire a list of DOI citations.
# Citation information can also be found on each site's AmeriFlux Site Info webpage. Access Site Info pages via Site Search: https://ameriflux.lbl.gov/sites/site-search/
site_id,author,title,publication_year,publisher,doi,doi_url,citation
"CA-TP4","Arain, M. Altaf; Restrepo-Coupe, Natalia","Net ecosystem production in a temperate pine plantation in southeastern Canada","2005","Elsevier BV","10.1016/J.AGRFORMET.2004.10.003","http://doi.org/10.1016/J.AGRFORMET.2004.10.003","Arain, M. A., Restrepo-Coupe, N. (2005) Net ecosystem production in a temperate pine plantation in southeastern Canada, Agricultural and Forest Meteorology, 128(3-4), 223-241"
"CA-TPD","Arain, M. Altaf","AmeriFlux BASE CA-TPD Ontario - Turkey Point Mature Deciduous, Ver. 2-5","2018","AmeriFlux AMP","10.17190/AMF/1246152","http://doi.org/10.17190/AMF/1246152","M. Altaf Arain (2018), AmeriFlux BASE CA-TPD Ontario - Turkey Point Mature Deciduous, Ver. 2-5, AmeriFlux AMP, (Dataset). https://doi.org/10.17190/AMF/1246152"
"CA-TVC","Sonnentag, Oliver; Marsh, Philip","AmeriFlux BASE CA-TVC Trail Valley Creek, Ver. 1-5","2021","AmeriFlux AMP","10.17190/AMF/1767831","http://doi.org/10.17190/AMF/1767831","Oliver Sonnentag, Philip Marsh (2021), AmeriFlux BASE CA-TVC Trail Valley Creek, Ver. 1-5, AmeriFlux AMP, (Dataset). https://doi.org/10.17190/AMF/1767831"
"CA-WRF","no_info_available","no_info_available","no_info_available","no_info_available","no_info_available","no_info_available","no_info_available"
"CL-ACF","no_info_available","no_info_available","no_info_available","no_info_available","no_info_available","no_info_available","no_info_available"
"CL-SDF","Perez-Quezada, Jorge; Armesto, Juan J.","AmeriFlux BASE CL-SDF Senda Darwin Forest, Ver. 1-5","2022","AmeriFlux AMP","10.17190/AMF/1902273","http://doi.org/10.17190/AMF/1902273","Jorge Perez-Quezada, Juan J. Armesto (2022), AmeriFlux BASE CL-SDF Senda Darwin Forest, Ver. 1-5, AmeriFlux AMP, (Dataset). https://doi.org/10.17190/AMF/1902273"
"CL-SDP","Perez-Quezada, Jorge; Armesto, Juan J.","AmeriFlux BASE CL-SDP Senda Darwin Peatland, Ver. 1-5","2022","AmeriFlux AMP","10.17190/AMF/1902274","http://doi.org/10.17190/AMF/1902274","Jorge Perez-Quezada, Juan J. Armesto (2022), AmeriFlux BASE CL-SDP Senda Darwin Peatland, Ver. 1-5, AmeriFlux AMP, (Dataset). https://doi.org/10.17190/AMF/1902274"
"CR-SoC","Aparecido, Luiza M T; Miller, Gretchen R; Cahill, Anthony T; Moore, Georgianne W","Leaf surface traits and water storage retention affect photosynthetic responses to leaf surface wetness among wet tropical forest and semiarid savanna plants","2017","Oxford University Press (OUP)","10.1093/TREEPHYS/TPX092","http://doi.org/10.1093/TREEPHYS/TPX092","Aparecido, L. M. T., Miller, G. R., Cahill, A. T., Moore, G. W. (2017) Leaf surface traits and water storage retention affect photosynthetic responses to leaf surface wetness among wet tropical forest and semiarid savanna plants, Tree Physiology, 37(10), 1285-1300"
"MX-Aog","Yepez, Enrico A.","AmeriFlux BASE MX-Aog Alamos Old-Growth tropical dry forest, Ver. 1-5","2020","AmeriFlux AMP","10.17190/AMF/1756414","http://doi.org/10.17190/AMF/1756414","Enrico A. Yepez (2020), AmeriFlux BASE MX-Aog Alamos Old-Growth tropical dry forest, Ver. 1-5, AmeriFlux AMP, (Dataset). https://doi.org/10.17190/AMF/1756414"
"MX-PMm","Alvarado‐Barrientos, M. Susana; López‐Adame, Haydee; Lazcano‐Hernández, Hugo E.; Arellano‐Verdejo, Javier; Hernández‐Arana, Héctor A.","Ecosystem‐Atmosphere Exchange of CO<sub>2</sub>, Water, and Energy in a Basin Mangrove of the Northeastern Coast of the Yucatan Peninsula","2021","American Geophysical Union (AGU)","10.1029/2020JG005811","http://doi.org/10.1029/2020JG005811","Alvarado‐Barrientos, M. S., López‐Adame, H., Lazcano‐Hernández, H. E., Arellano‐Verdejo, J., Hernández‐Arana, H. A. (2021) Ecosystem‐Atmosphere Exchange of CO<sub>2</sub>, Water, and Energy in a Basin Mangrove of the Northeastern Coast of the Yucatan Peninsula, Journal of Geophysical Research: Biogeosciences, 126(2)"
"MX-Tes","Yepez, Enrico A.; Garatuza, Jaime","AmeriFlux BASE MX-Tes Tesopaco, secondary tropical dry forest, Ver. 2-5","2021","AmeriFlux AMP","10.17190/AMF/1767832","http://doi.org/10.17190/AMF/1767832","Enrico A. Yepez, Jaime Garatuza (2021), AmeriFlux BASE MX-Tes Tesopaco, secondary tropical dry forest, Ver. 2-5, AmeriFlux AMP, (Dataset). https://doi.org/10.17190/AMF/1767832"
"PA-Bar","no_info_available","no_info_available","no_info_available","no_info_available","no_info_available","no_info_available","no_info_available"
"PA-Bas","no_info_available","no_info_available","no_info_available","no_info_available","no_info_available","no_info_available","no_info_available"
"PE-AMG","no_info_available","no_info_available","no_info_available","no_info_available","no_info_available","no_info_available","no_info_available"
"PE-BRE","no_info_available","no_info_available","no_info_available","no_info_available","no_info_available","no_info_available","no_info_available"
"PE-PAN","no_info_available","no_info_available","no_info_available","no_info_available","no_info_available","no_info_available","no_info_available"
"PE-QFR","Roman, Tyler; Griffis, Timothy; Kolka, Randy; Wayson, Craig; Lilleskov, Erik; Castillo, Dennis del; Fachín, Lizardo; Rengifo, Jhon","AmeriFlux BASE PE-QFR Quistococha Forest Reserve, Ver. 2-5","2021","AmeriFlux AMP","10.17190/AMF/1671889","http://doi.org/10.17190/AMF/1671889","Tyler Roman, Timothy Griffis, Randy Kolka, Craig Wayson, Erik Lilleskov, Dennis del Castillo, Lizardo Fachín, Jhon Rengifo (2021), AmeriFlux BASE PE-QFR Quistococha Forest Reserve, Ver. 2-5, AmeriFlux AMP, (Dataset). https://doi.org/10.17190/AMF/1671889"
"PR-xGU","NEON (National Ecological Observatory Network)","AmeriFlux BASE PR-xGU NEON Guanica Forest (GUAN), Ver. 7-5","2024","AmeriFlux AMP","10.17190/AMF/1773393","http://doi.org/10.17190/AMF/1773393","NEON (National Ecological Observatory Network) (2024), AmeriFlux BASE PR-xGU NEON Guanica Forest (GUAN), Ver. 7-5, AmeriFlux AMP, (Dataset). https://doi.org/10.17190/AMF/1773393"
"PR-xLA","NEON (National Ecological Observatory Network)","AmeriFlux BASE PR-xLA NEON Lajas Experimental Station (LAJA), Ver. 7-5","2024","AmeriFlux AMP","10.17190/AMF/1773394","http://doi.org/10.17190/AMF/1773394","NEON (National Ecological Observatory Network) (2024), AmeriFlux BASE PR-xLA NEON Lajas Experimental Station (LAJA), Ver. 7-5, AmeriFlux AMP, (Dataset). https://doi.org/10.17190/AMF/1773394"
"US-A03","Billesbach, Dave; Sullivan, Ryan","AmeriFlux BASE US-A03 ARM-AMF3-Oliktok, Ver. 5-5","2022","AmeriFlux AMP","10.17190/AMF/1498752","http://doi.org/10.17190/AMF/1498752","Dave Billesbach, Ryan Sullivan (2022), AmeriFlux BASE US-A03 ARM-AMF3-Oliktok, Ver. 5-5, AmeriFlux AMP, (Dataset). https://doi.org/10.17190/AMF/1498752"
"US-A10","Billesbach, Dave; Sullivan, Ryan","AmeriFlux BASE US-A10 ARM-NSA-Barrow, Ver. 4-5","2021","AmeriFlux AMP","10.17190/AMF/1498753","http://doi.org/10.17190/AMF/1498753","Dave Billesbach, Ryan Sullivan (2021), AmeriFlux BASE US-A10 ARM-NSA-Barrow, Ver. 4-5, AmeriFlux AMP, (Dataset). https://doi.org/10.17190/AMF/1498753"
"US-A32","Billesbach, Dave; Kueppers, Lara; Torn, Margaret; Biraud, Sebastien","AmeriFlux BASE US-A32 ARM-SGP Medford hay pasture, Ver. 1-5","2018","AmeriFlux AMP","10.17190/AMF/1436327","http://doi.org/10.17190/AMF/1436327","Dave Billesbach, Lara Kueppers, Margaret Torn, Sebastien Biraud (2018), AmeriFlux BASE US-A32 ARM-SGP Medford hay pasture, Ver. 1-5, AmeriFlux AMP, (Dataset). https://doi.org/10.17190/AMF/1436327"
"US-A39","no_info_available","no_info_available","no_info_available","no_info_available","no_info_available","no_info_available","no_info_available"
"US-A74","Billesbach, Dave; Kueppers, Lara; Torn, Margaret; Biraud, Sebastien","AmeriFlux BASE US-A74 ARM SGP milo field, Ver. 1-5","2018","AmeriFlux AMP","10.17190/AMF/1436328","http://doi.org/10.17190/AMF/1436328","Dave Billesbach, Lara Kueppers, Margaret Torn, Sebastien Biraud (2018), AmeriFlux BASE US-A74 ARM SGP milo field, Ver. 1-5, AmeriFlux AMP, (Dataset). https://doi.org/10.17190/AMF/1436328"
"US-AaG","no_info_available","no_info_available","no_info_available","no_info_available","no_info_available","no_info_available","no_info_available"
"US-Act","Waldo, Sarah","AmeriFlux BASE US-Act Acton Lake Flux Tower Site, Ver. 1-5","2022","AmeriFlux AMP","10.17190/AMF/1846660","http://doi.org/10.17190/AMF/1846660","Sarah Waldo (2022), AmeriFlux BASE US-Act Acton Lake Flux Tower Site, Ver. 1-5, AmeriFlux AMP, (Dataset). https://doi.org/10.17190/AMF/1846660"
"US-ADR","Moreo, Michael","AmeriFlux BASE US-ADR Amargosa Desert Research Site (ADRS), Ver. 1-5","2018","AmeriFlux AMP","10.17190/AMF/1418680","http://doi.org/10.17190/AMF/1418680","Michael Moreo (2018), AmeriFlux BASE US-ADR Amargosa Desert Research Site (ADRS), Ver. 1-5, AmeriFlux AMP, (Dataset). https://doi.org/10.17190/AMF/1418680"
"US-AF1","no_info_available","no_info_available","no_info_available","no_info_available","no_info_available","no_info_available","no_info_available"
"US-Akn","Leclerc, Monique","AmeriFlux BASE US-Akn Savannah River Site, Ver. 6-5","2023","AmeriFlux AMP","10.17190/AMF/1246141","http://doi.org/10.17190/AMF/1246141","Monique Leclerc (2023), AmeriFlux BASE US-Akn Savannah River Site, Ver. 6-5, AmeriFlux AMP, (Dataset). https://doi.org/10.17190/AMF/1246141"
"US-ALQ","Olson, Brent","AmeriFlux BASE US-ALQ Allequash Creek Site, Ver. 18-5","2024","AmeriFlux AMP","10.17190/AMF/1480323","http://doi.org/10.17190/AMF/1480323","Brent Olson (2024), AmeriFlux BASE US-ALQ Allequash Creek Site, Ver. 18-5, AmeriFlux AMP, (Dataset). https://doi.org/10.17190/AMF/1480323"
"US-AMS","no_info_available","no_info_available","no_info_available","no_info_available","no_info_available","no_info_available","no_info_available"
"US-An1","Rocha, Adrian; Shaver, Gaius; Hobbie, John","AmeriFlux BASE US-An1 Anaktuvuk River Severe Burn, Ver. 2-5","2020","AmeriFlux AMP","10.17190/AMF/1246142","http://doi.org/10.17190/AMF/1246142","Adrian Rocha, Gaius Shaver, John Hobbie (2020), AmeriFlux BASE US-An1 Anaktuvuk River Severe Burn, Ver. 2-5, AmeriFlux AMP, (Dataset). https://doi.org/10.17190/AMF/1246142"
"US-An2","Rocha, Adrian; Shaver, Gaius; Hobbie, John","AmeriFlux BASE US-An2 Anaktuvuk River Moderate Burn, Ver. 2-5","2020","AmeriFlux AMP","10.17190/AMF/1246143","http://doi.org/10.17190/AMF/1246143","Adrian Rocha, Gaius Shaver, John Hobbie (2020), AmeriFlux BASE US-An2 Anaktuvuk River Moderate Burn, Ver. 2-5, AmeriFlux AMP, (Dataset). https://doi.org/10.17190/AMF/1246143"
"US-An3","Rocha, Adrian; Shaver, Gaius; Hobbie, John","AmeriFlux BASE US-An3 Anaktuvuk River Unburned, Ver. 2-5","2020","AmeriFlux AMP","10.17190/AMF/1246144","http://doi.org/10.17190/AMF/1246144","Adrian Rocha, Gaius Shaver, John Hobbie (2020), AmeriFlux BASE US-An3 Anaktuvuk River Unburned, Ver. 2-5, AmeriFlux AMP, (Dataset). https://doi.org/10.17190/AMF/1246144"
"US-AoL","no_info_available","no_info_available","no_info_available","no_info_available","no_info_available","no_info_available","no_info_available"
"US-AR1","Billesbach, Dave; Bradford, James; Torn, Margaret","AmeriFlux BASE US-AR1 ARM USDA UNL OSU Woodward Switchgrass 1, Ver. 3-5","2019","AmeriFlux AMP","10.17190/AMF/1246137","http://doi.org/10.17190/AMF/1246137","Dave Billesbach, James Bradford, Margaret Torn (2019), AmeriFlux BASE US-AR1 ARM USDA UNL OSU Woodward Switchgrass 1, Ver. 3-5, AmeriFlux AMP, (Dataset). https://doi.org/10.17190/AMF/1246137"
"US-AR2","Billesbach, Dave; Bradford, James; Torn, Margaret","AmeriFlux BASE US-AR2 ARM USDA UNL OSU Woodward Switchgrass 2, Ver. 3-5","2019","AmeriFlux AMP","10.17190/AMF/1246138","http://doi.org/10.17190/AMF/1246138","Dave Billesbach, James Bradford, Margaret Torn (2019), AmeriFlux BASE US-AR2 ARM USDA UNL OSU Woodward Switchgrass 2, Ver. 3-5, AmeriFlux AMP, (Dataset). https://doi.org/10.17190/AMF/1246138"
"US-ARb","Torn, Margaret","AmeriFlux BASE US-ARb ARM Southern Great Plains burn site- Lamont, Ver. 3-5","2019","AmeriFlux AMP","10.17190/AMF/1246025","http://doi.org/10.17190/AMF/1246025","Margaret Torn (2019), AmeriFlux BASE US-ARb ARM Southern Great Plains burn site- Lamont, Ver. 3-5, AmeriFlux AMP, (Dataset). https://doi.org/10.17190/AMF/1246025"
"US-ARc","Torn, Margaret","AmeriFlux BASE US-ARc ARM Southern Great Plains control site- Lamont, Ver. 3-5","2019","AmeriFlux AMP","10.17190/AMF/1246026","http://doi.org/10.17190/AMF/1246026","Margaret Torn (2019), AmeriFlux BASE US-ARc ARM Southern Great Plains control site- Lamont, Ver. 3-5, AmeriFlux AMP, (Dataset). https://doi.org/10.17190/AMF/1246026"
"US-ARM","Fischer, Marc L.; Billesbach, David P.; Berry, Joseph A.; Riley, William J.; Torn, Margaret S.","Spatiotemporal Variations in Growing Season Exchanges of CO2, H2O, and Sensible Heat in Agricultural Fields of the Southern Great Plains","2007","American Meteorological Society","10.1175/EI231.1","http://doi.org/10.1175/EI231.1","Fischer, M. L., Billesbach, D. P., Berry, J. A., Riley, W. J., Torn, M. S. (2007) Spatiotemporal Variations in Growing Season Exchanges of CO2, H2O, and Sensible Heat in Agricultural Fields of the Southern Great Plains, Earth Interactions, 11(17), 1-21"
"US-ASH","Anderson, Ray G.","AmeriFlux BASE US-ASH USSL San Joaquin Valley Almond High Salinity, Ver. 1-5","2020","AmeriFlux AMP","10.17190/AMF/1634880","http://doi.org/10.17190/AMF/1634880","Ray G. Anderson (2020), AmeriFlux BASE US-ASH USSL San Joaquin Valley Almond High Salinity, Ver. 1-5, AmeriFlux AMP, (Dataset). https://doi.org/10.17190/AMF/1634880"
"US-ASL","Anderson, Ray G.","AmeriFlux BASE US-ASL USSL San Joaquin Valley Almond Low Salinity, Ver. 1-5","2020","AmeriFlux AMP","10.17190/AMF/1617706","http://doi.org/10.17190/AMF/1617706","Ray G. Anderson (2020), AmeriFlux BASE US-ASL USSL San Joaquin Valley Almond Low Salinity, Ver. 1-5, AmeriFlux AMP, (Dataset). https://doi.org/10.17190/AMF/1617706"
"US-ASM","Anderson, Ray G.","AmeriFlux BASE US-ASM USSL San Joaquin Valley Almond Medium Salinity, Ver. 1-5","2020","AmeriFlux AMP","10.17190/AMF/1617709","http://doi.org/10.17190/AMF/1617709","Ray G. Anderson (2020), AmeriFlux BASE US-ASM USSL San Joaquin Valley Almond Medium Salinity, Ver. 1-5, AmeriFlux AMP, (Dataset). https://doi.org/10.17190/AMF/1617709"
"US-Bar","Ouimette, Andrew P.; Ollinger, Scott V.; Richardson, Andrew D.; Hollinger, David Y.; Keenan, Trevor F.; Lepine, Lucie C.; Vadeboncoeur, Matthew A.","Carbon fluxes and interannual drivers in a temperate forest ecosystem assessed through comparison of top-down and bottom-up approaches","2018","Elsevier BV","10.1016/J.AGRFORMET.2018.03.017","http://doi.org/10.1016/J.AGRFORMET.2018.03.017","Ouimette, A. P., Ollinger, S. V., Richardson, A. D., Hollinger, D. Y., Keenan, T. F., Lepine, L. C., Vadeboncoeur, M. A. (2018) Carbon fluxes and interannual drivers in a temperate forest ecosystem assessed through comparison of top-down and bottom-up approaches, Agricultural and Forest Meteorology, 256-257, 420-430"
"US-BCM","no_info_available","no_info_available","no_info_available","no_info_available","no_info_available","no_info_available","no_info_available"
"US-Bd4","no_info_available","no_info_available","no_info_available","no_info_available","no_info_available","no_info_available","no_info_available"
"US-Bd5","no_info_available","no_info_available","no_info_available","no_info_available","no_info_available","no_info_available","no_info_available"
"US-Bd6","no_info_available","no_info_available","no_info_available","no_info_available","no_info_available","no_info_available","no_info_available"
"US-BdA","no_info_available","no_info_available","no_info_available","no_info_available","no_info_available","no_info_available","no_info_available"
"US-BdC","no_info_available","no_info_available","no_info_available","no_info_available","no_info_available","no_info_available","no_info_available"
"US-BgC","no_info_available","no_info_available","no_info_available","no_info_available","no_info_available","no_info_available","no_info_available"
"US-Bi1","Hemes, Kyle S.; Chamberlain, Samuel D.; Eichelmann, Elke; Anthony, Tyler; Valach, Amy; Kasak, Kuno; Szutu, Daphne; Verfaillie, Joe; Silver, Whendee L.; Baldocchi, Dennis D.","Assessing the carbon and climate benefit of restoring degraded agricultural peat soils to managed wetlands","2019","Elsevier BV","10.1016/J.AGRFORMET.2019.01.017","http://doi.org/10.1016/J.AGRFORMET.2019.01.017","Hemes, K. S., Chamberlain, S. D., Eichelmann, E., Anthony, T., Valach, A., Kasak, K., Szutu, D., Verfaillie, J., Silver, W. L., Baldocchi, D. D. (2019) Assessing the carbon and climate benefit of restoring degraded agricultural peat soils to managed wetlands, Agricultural and Forest Meteorology, 268, 202-214"
"US-Bi2","Rey-Sanchez, Camilo; Wang, Carlos Tianxin; Szutu, Daphne; Hemes, Kyle; Verfaillie, Joseph; Baldocchi, Dennis","AmeriFlux BASE US-Bi2 Bouldin Island corn, Ver. 17-5","2024","AmeriFlux AMP","10.17190/AMF/1419513","http://doi.org/10.17190/AMF/1419513","Camilo Rey-Sanchez, Carlos Tianxin Wang, Daphne Szutu, Kyle Hemes, Joseph Verfaillie, Dennis Baldocchi (2024), AmeriFlux BASE US-Bi2 Bouldin Island corn, Ver. 17-5, AmeriFlux AMP, (Dataset). https://doi.org/10.17190/AMF/1419513"
"US-Blo","Goldstein, Allen","AmeriFlux BASE US-Blo Blodgett Forest, Ver. 4-5","2019","AmeriFlux AMP","10.17190/AMF/1246032","http://doi.org/10.17190/AMF/1246032","Allen Goldstein (2019), AmeriFlux BASE US-Blo Blodgett Forest, Ver. 4-5, AmeriFlux AMP, (Dataset). https://doi.org/10.17190/AMF/1246032"
"US-BMM","Stoy, Paul; Brookshire, E. N. J.","AmeriFlux BASE US-BMM Bangtail Mountain Meadow, Ver. 3-5","2022","AmeriFlux AMP","10.17190/AMF/1660338","http://doi.org/10.17190/AMF/1660338","Paul Stoy, E. N. J. Brookshire (2022), AmeriFlux BASE US-BMM Bangtail Mountain Meadow, Ver. 3-5, AmeriFlux AMP, (Dataset). https://doi.org/10.17190/AMF/1660338"
"US-Bo1","Meyers, Tilden","AmeriFlux BASE US-Bo1 Bondville, Ver. 2-1","2016","AmeriFlux AMP","10.17190/AMF/1246036","http://doi.org/10.17190/AMF/1246036","Tilden Meyers (2016), AmeriFlux BASE US-Bo1 Bondville, Ver. 2-1, AmeriFlux AMP, (Dataset). https://doi.org/10.17190/AMF/1246036"
"US-Bo2","Bernacchi, Carl","AmeriFlux BASE US-Bo2 Bondville (companion site), Ver. 2-1","2016","AmeriFlux AMP","10.17190/AMF/1246037","http://doi.org/10.17190/AMF/1246037","Carl Bernacchi (2016), AmeriFlux BASE US-Bo2 Bondville (companion site), Ver. 2-1, AmeriFlux AMP, (Dataset). https://doi.org/10.17190/AMF/1246037"
"US-BRG","Novick, Kimberly","AmeriFlux BASE US-BRG Bayles Road Grassland Tower, Ver. 1-5","2020","AmeriFlux AMP","10.17190/AMF/1756416","http://doi.org/10.17190/AMF/1756416","Kimberly Novick (2020), AmeriFlux BASE US-BRG Bayles Road Grassland Tower, Ver. 1-5, AmeriFlux AMP, (Dataset). https://doi.org/10.17190/AMF/1756416"
"US-Bsg","Still, Chris","AmeriFlux BASE US-Bsg Burns Sagebrush, Ver. 1-5","2022","AmeriFlux AMP","10.17190/AMF/1846661","http://doi.org/10.17190/AMF/1846661","Chris Still (2022), AmeriFlux BASE US-Bsg Burns Sagebrush, Ver. 1-5, AmeriFlux AMP, (Dataset). https://doi.org/10.17190/AMF/1846661"
"US-BWa","Davis, Kenneth","AmeriFlux BASE US-BWa INFLUX - NIST Turfgrass Site, Ver. 1-5","2023","AmeriFlux AMP","10.17190/AMF/2229153","http://doi.org/10.17190/AMF/2229153","Kenneth Davis (2023), AmeriFlux BASE US-BWa INFLUX - NIST Turfgrass Site, Ver. 1-5, AmeriFlux AMP, (Dataset). https://doi.org/10.17190/AMF/2229153"
"US-BWb","Davis, Kenneth","AmeriFlux BASE US-BWb INFLUX - Montgomery County pasture site, Ver. 1-5","2023","AmeriFlux AMP","10.17190/AMF/2229154","http://doi.org/10.17190/AMF/2229154","Kenneth Davis (2023), AmeriFlux BASE US-BWb INFLUX - Montgomery County pasture site, Ver. 1-5, AmeriFlux AMP, (Dataset). https://doi.org/10.17190/AMF/2229154"
"US-BZB","Euskirchen, Eugenie","AmeriFlux BASE US-BZB Bonanza Creek Thermokarst Bog, Ver. 4-5","2022","AmeriFlux AMP","10.17190/AMF/1773401","http://doi.org/10.17190/AMF/1773401","Eugenie Euskirchen (2022), AmeriFlux BASE US-BZB Bonanza Creek Thermokarst Bog, Ver. 4-5, AmeriFlux AMP, (Dataset). https://doi.org/10.17190/AMF/1773401"
"US-BZF","Euskirchen, Eugenie","AmeriFlux BASE US-BZF Bonanza Creek Rich Fen, Ver. 4-5","2022","AmeriFlux AMP","10.17190/AMF/1756433","http://doi.org/10.17190/AMF/1756433","Eugenie Euskirchen (2022), AmeriFlux BASE US-BZF Bonanza Creek Rich Fen, Ver. 4-5, AmeriFlux AMP, (Dataset). https://doi.org/10.17190/AMF/1756433"
"US-BZL","no_info_available","no_info_available","no_info_available","no_info_available","no_info_available","no_info_available","no_info_available"
"US-BZo","Euskirchen, Eugenie","AmeriFlux BASE US-BZo Bonanza Creek Old Thermokarst Bog, Ver. 3-5","2022","AmeriFlux AMP","10.17190/AMF/1846662","http://doi.org/10.17190/AMF/1846662","Eugenie Euskirchen (2022), AmeriFlux BASE US-BZo Bonanza Creek Old Thermokarst Bog, Ver. 3-5, AmeriFlux AMP, (Dataset). https://doi.org/10.17190/AMF/1846662"
"US-BZS","Euskirchen, Eugenie","AmeriFlux BASE US-BZS Bonanza Creek Black Spruce, Ver. 3-5","2022","AmeriFlux AMP","10.17190/AMF/1756434","http://doi.org/10.17190/AMF/1756434","Eugenie Euskirchen (2022), AmeriFlux BASE US-BZS Bonanza Creek Black Spruce, Ver. 3-5, AmeriFlux AMP, (Dataset). https://doi.org/10.17190/AMF/1756434"
"US-CC1","Stoy, Paul; Brevert, Sharifa","AmeriFlux BASE US-CC1 Coloma Corn 1, Ver. 1-5","2022","AmeriFlux AMP","10.17190/AMF/1865475","http://doi.org/10.17190/AMF/1865475","Paul Stoy, Sharifa Brevert (2022), AmeriFlux BASE US-CC1 Coloma Corn 1, Ver. 1-5, AmeriFlux AMP, (Dataset). https://doi.org/10.17190/AMF/1865475"
"US-CC2","Stoy, Paul; Brevert, Sharifa; Khan, Anam","AmeriFlux BASE US-CC2 Coloma Corn 2, Ver. 2-5","2022","AmeriFlux AMP","10.17190/AMF/1865476","http://doi.org/10.17190/AMF/1865476","Paul Stoy, Sharifa Brevert, Anam Khan (2022), AmeriFlux BASE US-CC2 Coloma Corn 2, Ver. 2-5, AmeriFlux AMP, (Dataset). https://doi.org/10.17190/AMF/1865476"
"US-CdM","Bowling, David; Kannenberg, Steve; Anderegg, William","AmeriFlux BASE US-CdM Cedar Mesa, Ver. 2-5","2024","AmeriFlux AMP","10.17190/AMF/1865477","http://doi.org/10.17190/AMF/1865477","David Bowling, Steve Kannenberg, William Anderegg (2024), AmeriFlux BASE US-CdM Cedar Mesa, Ver. 2-5, AmeriFlux AMP, (Dataset). https://doi.org/10.17190/AMF/1865477"
"US-Ced","Clark, Ken","AmeriFlux BASE US-Ced Cedar Bridge, Ver. 7-1","2016","AmeriFlux AMP","10.17190/AMF/1246043","http://doi.org/10.17190/AMF/1246043","Ken Clark (2016), AmeriFlux BASE US-Ced Cedar Bridge, Ver. 7-1, AmeriFlux AMP, (Dataset). https://doi.org/10.17190/AMF/1246043"
"US-CF1","Phillips, Claire L.; Huggins, Dave","AmeriFlux BASE US-CF1 CAF-LTAR Cook East, Ver. 3-5","2022","AmeriFlux AMP","10.17190/AMF/1543382","http://doi.org/10.17190/AMF/1543382","Claire L. Phillips, Dave Huggins (2022), AmeriFlux BASE US-CF1 CAF-LTAR Cook East, Ver. 3-5, AmeriFlux AMP, (Dataset). https://doi.org/10.17190/AMF/1543382"
"US-CF2","Huggins, Dave","AmeriFlux BASE US-CF2 CAF-LTAR Cook West, Ver. 2-5","2021","AmeriFlux AMP","10.17190/AMF/1543383","http://doi.org/10.17190/AMF/1543383","Dave Huggins (2021), AmeriFlux BASE US-CF2 CAF-LTAR Cook West, Ver. 2-5, AmeriFlux AMP, (Dataset). https://doi.org/10.17190/AMF/1543383"
"US-CF3","Huggins, Dave","AmeriFlux BASE US-CF3 CAF-LTAR Boyd North, Ver. 3-5","2022","AmeriFlux AMP","10.17190/AMF/1543385","http://doi.org/10.17190/AMF/1543385","Dave Huggins (2022), AmeriFlux BASE US-CF3 CAF-LTAR Boyd North, Ver. 3-5, AmeriFlux AMP, (Dataset). https://doi.org/10.17190/AMF/1543385"
"US-CF4","Huggins, Dave","AmeriFlux BASE US-CF4 CAF-LTAR Boyd South, Ver. 3-5","2022","AmeriFlux AMP","10.17190/AMF/1543384","http://doi.org/10.17190/AMF/1543384","Dave Huggins (2022), AmeriFlux BASE US-CF4 CAF-LTAR Boyd South, Ver. 3-5, AmeriFlux AMP, (Dataset). https://doi.org/10.17190/AMF/1543384"
"US-CGG","Oikawa, Patty","AmeriFlux BASE US-CGG Concord Grazed Grassland, Ver. 1-5","2023","AmeriFlux AMP","10.17190/AMF/1987600","http://doi.org/10.17190/AMF/1987600","Patty Oikawa (2023), AmeriFlux BASE US-CGG Concord Grazed Grassland, Ver. 1-5, AmeriFlux AMP, (Dataset). https://doi.org/10.17190/AMF/1987600"
"US-CLF","Davis, Kenneth J.","AmeriFlux BASE US-CLF Cole Farm, Ver. 1-5","2023","AmeriFlux AMP","10.17190/AMF/1987601","http://doi.org/10.17190/AMF/1987601","Kenneth J. Davis (2023), AmeriFlux BASE US-CLF Cole Farm, Ver. 1-5, AmeriFlux AMP, (Dataset). https://doi.org/10.17190/AMF/1987601"
"US-Cms","Miyata, Akira; Harazono, Yoshinobu","AmeriFlux BASE US-Cms Central Marsh, Ver. 1-5","2023","AmeriFlux AMP","10.17190/AMF/1987602","http://doi.org/10.17190/AMF/1987602","Akira Miyata, Yoshinobu Harazono (2023), AmeriFlux BASE US-Cms Central Marsh, Ver. 1-5, AmeriFlux AMP, (Dataset). https://doi.org/10.17190/AMF/1987602"
