id,license,latitude,longitude,altitude,IGBP,MAT,MAP
CA-SF3,CC-BY-4.0,54.0916,-106.0053,540,OSH,0.4,470
CA-TP1,CC-BY-4.0,42.6609,-80.5595,265,ENF,8,1036
CA-TP2,CC-BY-4.0,42.7744,-80.4588,212,ENF,8,1036
CA-TP3,CC-BY-4.0,42.7068,-80.3483,184,ENF,8,1036
CA-TP4,CC-BY-4.0,42.7102,-80.3574,184,ENF,8,1036
CA-TPD,CC-BY-4.0,42.6353,-80.5577,260,DBF,8,1036
CG-Tch,CC-BY-4.0,-4.2892,11.6564,82,SAV,25.7,1150
CH-Cha,CC-BY-4.0,47.2102,8.4104,393,GRA,9.5,1136
CH-Dav,CC-BY-4.0,46.8153,9.8559,1639,ENF,2.8,1062
CH-Fru,CC-BY-4.0,47.1158,8.5378,982,GRA,7.2,1651
CH-Lae,CC-BY-4.0,47.4783,8.3644,689,MF,8.3,1100
CH-Oe1,CC-BY-4.0,47.2858,7.7319,450,GRA,9,1100
CH-Oe2,CC-BY-4.0,47.2864,7.7337,452,CRO,9.8,1155
CN-Cha,CC-BY-4.0,42.4025,128.0958,,MF,2.16,663.59
CN-Cng,CC-BY-4.0,44.5934,123.5092,,GRA,,
CN-Dan,CC-BY-4.0,30.4978,91.0664,,GRA,-1.54,246.88
CN-Din,CC-BY-4.0,23.1733,112.5361,,EBF,19.64,1618.1
CN-Du2,CC-BY-4.0,42.0467,116.2836,,GRA,2.01,318.96
CN-Du3,CC-BY-4.0,42.0551,116.2809,,GRA,,
CN-Ha2,CC-BY-4.0,37.6086,101.3269,,WET,,
CN-HaM,CC-BY-4.0,37.37,101.18,,GRA,,
CN-Hgu,,32.8453,102.59,3500,GRA,1.5,747
CN-Qia,CC-BY-4.0,26.7414,115.0581,,ENF,18.95,1466.75
CN-Sw2,CC-BY-4.0,41.7902,111.8971,,GRA,,
CZ-BK1,CC-BY-4.0,49.5021,18.5369,875,ENF,6.7,1316
CZ-BK2,CC-BY-4.0,49.4944,18.5429,855,GRA,6.7,1316
CZ-wet,CC-BY-4.0,49.0247,14.7704,426,WET,7.7,604
DE-Akm,CC-BY-4.0,53.8662,13.6834,-1,WET,8.7,558
DE-Dgw,,53.1514,13.0543,60,WAT,9.02,602.9
DE-Geb,CC-BY-4.0,51.0997,10.9146,161.5,CRO,8.5,470
DE-Gri,CC-BY-4.0,50.95,13.5126,385,GRA,7.8,901
DE-Hai,CC-BY-4.0,51.0792,10.4522,430,DBF,8.3,720
DE-Hte,,54.2103,12.1761,0.2,WET,9.2,645
DE-Kli,CC-BY-4.0,50.8931,13.5224,478,CRO,7.6,842
DE-Lkb,CC-BY-4.0,49.0996,13.3047,1308,ENF,4,1599
DE-Lnf,CC-BY-4.0,51.3282,10.3678,451,DBF,6.96,894.6
DE-Obe,CC-BY-4.0,50.7867,13.7213,734,ENF,5.5,996
DE-RuR,CC-BY-4.0,50.6219,6.3041,514.7,GRA,7.7,1033
DE-RuS,CC-BY-4.0,50.8659,6.4471,102.755,CRO,10,700
DE-Seh,CC-BY-4.0,50.8706,6.4497,103,CRO,9.9,693
DE-SfN,CC-BY-4.0,47.8064,11.3275,590,WET,8.6,1127
DE-Spw,CC-BY-4.0,51.8922,14.0337,61,WET,8.7,558
DE-Tha,CC-BY-4.0,50.9626,13.5651,385,ENF,8.2,843
DE-Zrk,CC-BY-4.0,53.8759,12.889,0,WET,8.7,584
DK-Eng,CC-BY-4.0,55.6905,12.1918,10,GRA,8,613
DK-Fou,CC-BY-4.0,56.4842,9.5872,51,CRO,8,
DK-Sor,CC-BY-4.0,55.4859,11.6446,40,DBF,8.2,660
ES-Amo,CC-BY-4.0,36.8336,-2.2523,58,OSH,,0
ES-LJu,CC-BY-4.0,36.9266,-2.7521,1600,OSH,16,400
ES-LgS,CC-BY-4.0,37.0979,-2.9658,2267,OSH,,
ES-Ln2,CC-BY-4.0,36.9695,-3.4758,2249,OSH,,
FI-Hyy,CC-BY-4.0,61.8474,24.2948,181,ENF,3.8,709
FI-Jok,CC-BY-4.0,60.8986,23.5134,109,CRO,4.6,627
FI-Let,CC-BY-4.0,60.6418,23.9595,111,ENF,4.6,627
FI-Lom,CC-BY-4.0,67.9972,24.2092,274,WET,-1.4,484
FI-Si2,,61.8372,24.1967,160,WET,3.5,701
FI-Sii,,61.8327,24.1928,160,WET,3.5,701
FI-Sod,CC-BY-4.0,67.3624,26.6386,180,ENF,-1,500
FR-Fon,CC-BY-4.0,48.4764,2.7801,103,DBF,10.2,720
FR-Gri,CC-BY-4.0,48.8442,1.9519,125,CRO,12,650
FR-LBr,CC-BY-4.0,44.7171,-0.7693,61,ENF,13.6,900
FR-LGt,,47.3229,2.2841,,WET,,
FR-Pue,CC-BY-4.0,43.7413,3.5957,270,EBF,13.5,883
GF-Guy,CC-BY-4.0,5.2788,-52.9249,48,EBF,25.7,3041
GH-Ank,CC-BY-4.0,5.2685,-2.6942,124,EBF,26,1900
GL-NuF,CC-BY-4.0,64.1308,-51.3861,50,WET,-1.4,750
GL-ZaF,CC-BY-4.0,74.4814,-20.5545,38,WET,-9,211
GL-ZaH,CC-BY-4.0,74.4733,-20.5503,38,GRA,-9,211
HK-MPM,,22.4982,114.0292,-1,EBF,23.3,1400
ID-Pag,,-2.32,113.9,30,EBF,26.2,2546
IT-BCi,CC-BY-4.0,40.5237,14.9574,20,CRO,18,600
IT-CA1,CC-BY-4.0,42.3804,12.0266,200,DBF,14,766
IT-CA2,CC-BY-4.0,42.3772,12.026,200,CRO,14,766
IT-CA3,CC-BY-4.0,42.38,12.0222,197,DBF,14,766
IT-Cas,,45.07,8.7175,89,CRO,11.9,
IT-Col,CC-BY-4.0,41.8494,13.5881,1560,DBF,6.3,1180
IT-Cp2,CC-BY-4.0,41.7043,12.3573,19,EBF,15.2,805
IT-Cpz,CC-BY-4.0,41.7052,12.3761,68,EBF,15.6,780
IT-Isp,CC-BY-4.0,45.8126,8.6336,210,DBF,12.2,1300
IT-La2,CC-BY-4.0,45.9542,11.2853,1350,ENF,7.2,1150
IT-Lav,CC-BY-4.0,45.9562,11.2813,1353,ENF,7.8,1291
IT-MBo,CC-BY-4.0,46.0147,11.0458,1550,GRA,5.1,1214
IT-Noe,CC-BY-4.0,40.6062,8.1517,25,CSH,15.9,588
IT-PT1,CC-BY-4.0,45.2009,9.061,60,DBF,12.7,984
IT-Ren,CC-BY-4.0,46.5869,11.4337,1730,ENF,4.7,809.3
IT-Ro1,CC-BY-4.0,42.4081,11.93,235,DBF,15.15,876.2
IT-Ro2,CC-BY-4.0,42.3903,11.9209,160,DBF,15.15,876.2
IT-SR2,CC-BY-4.0,43.732,10.2909,4,ENF,14.2,920
IT-SRo,CC-BY-4.0,43.7279,10.2844,6,ENF,14.2,920
IT-Tor,CC-BY-4.0,45.8444,7.5781,2160,GRA,2.9,920
JP-BBY,,43.323,141.8107,,WET,,
JP-MBF,CC-BY-4.0,44.3869,142.3186,,DBF,,
JP-Mse,,36.0539,140.0269,,CRO,,
JP-SMF,CC-BY-4.0,35.2617,137.0788,,MF,,
JP-SwL,,36.0466,138.1084,,WAT,,
KR-CRK,,38.2013,127.2506,182,CRO,11.2,1180.9
MY-MLM,,1.4536,111.1495,,EBF,,
MY-PSO,CC-BY-4.0,2.973,102.3062,,EBF,,
